12 12
2 3
12 8
10 5 L
6 1 L
10 12 L
8 1 L
4 6 L
2 11 L
1 4 N
1 10 N
11 5 N
2 11 L
6 5 L
4 12 L
8 6 L
11 12 L
12 1 N
4 6 L
4 9 L
9 7 N
7 12 L
4 3 N
5 2 L
8 12 N
5 6 N
9 11 N
3 11 N
5 6 L
9 1 L
5 11 N
7 7 L
6 6 L
12 12 N
8 2 L
8 6 N
10 1 L
2 12 N
5 10 N
5 7 L
3 11 L
5 1 L
8 6 L
4 4 L
12 11 L
11 10 L
3 11 N
1 7 L
5 9 N
1 2 L
5 1 N
11 2 N
2 10 L
9 11 L
4 10 N
1 9 L
2 9 N
10 3 N
2 6 N
9 7 L
2 4 N
11 6 L
7 10 L
4 5 L
7 12 N
11 6 L
1 3 L
10 11 L
11 1 L
10 9 N
1 10 L
1 4 N
8 6 L
10 7 N
6 9 N
10 4 N
8 2 L
4 11 L
2 12 L
4 8 N
10 12 L
12 5 L
8 3 L
