48 48
10 6
45 34
38 15 L
24 24 L
33 11 L
10 32 N
41 11 L
39 1 L
11 26 L
34 1 L
25 8 N
21 20 L
32 38 L
6 4 N
7 48 N
6 17 N
31 25 N
18 26 L
26 8 N
23 41 L
36 31 N
37 20 N
36 42 N
4 4 L
10 39 N
13 40 N
47 42 N
47 1 N
16 44 N
7 36 L
37 40 N
34 30 N
47 43 L
2 20 L
12 32 L
43 21 N
18 29 L
15 46 L
38 1 N
7 1 N
1 14 L
38 8 N
30 38 N
19 12 L
45 43 N
14 2 N
22 41 N
25 45 L
39 19 L
43 40 L
39 45 N
25 10 N
10 9 N
31 47 N
27 23 N
31 1 L
3 12 N
41 45 L
15 42 N
13 40 L
23 32 N
21 47 L
43 21 N
30 39 L
43 36 N
35 20 N
41 42 L
26 28 L
34 22 N
29 10 N
27 27 L
9 21 L
42 7 N
40 5 N
18 39 N
14 12 L
45 19 L
1 29 L
18 31 N
17 12 N
18 38 N
44 45 L
21 26 N
35 23 L
6 5 N
15 47 N
27 48 N
4 29 L
28 34 N
30 35 L
44 26 L
23 17 L
41 1 L
20 7 N
40 19 L
29 33 L
7 17 L
17 13 L
20 39 N
43 30 L
23 18 L
44 9 N
46 1 L
28 22 L
39 5 L
26 33 N
9 6 L
12 41 N
18 39 N
31 3 N
48 46 N
8 45 N
8 18 L
35 23 L
28 16 L
35 36 N
47 30 N
43 13 L
13 11 N
1 39 N
15 29 L
23 45 N
4 30 N
17 30 N
25 19 N
46 1 L
10 6 N
38 1 N
26 32 N
34 9 N
26 9 N
18 6 N
15 44 N
14 8 L
43 5 L
3 39 N
33 38 L
9 40 N
39 40 L
14 9 L
26 15 L
19 28 L
4 6 N
14 41 L
39 7 L
13 14 N
35 11 N
16 4 L
7 35 N
17 47 L
10 28 L
9 29 N
8 31 N
27 15 L
23 14 N
27 25 N
8 47 L
43 32 L
26 25 N
46 42 N
29 14 L
18 29 L
14 13 L
24 16 L
7 22 N
35 8 N
35 47 N
7 19 N
10 21 L
2 36 L
18 25 L
24 31 L
10 36 N
25 30 N
10 42 N
45 8 L
17 5 L
4 2 L
42 7 L
22 26 L
24 21 N
38 21 N
35 31 L
40 11 N
1 20 N
47 43 L
48 21 L
38 27 L
41 13 N
28 22 N
1 7 L
31 7 L
18 10 N
3 32 L
40 19 L
17 43 L
6 6 N
44 44 L
23 39 N
20 17 N
47 5 N
17 11 N
46 46 L
19 17 L
9 32 N
13 6 L
2 13 L
24 17 N
35 29 L
14 8 N
14 40 N
27 13 L
48 35 L
47 40 N
47 30 L
10 38 L
23 14 N
44 15 L
28 32 L
30 47 L
44 5 N
33 45 L
30 7 L
48 21 L
25 4 N
17 2 N
8 46 N
1 23 L
25 23 L
26 42 N
31 33 N
4 11 L
45 18 L
33 27 L
12 5 L
47 32 L
48 35 N
19 25 L
25 44 N
31 4 N
8 23 L
4 33 L
13 15 N
7 16 L
30 33 L
15 42 L
11 23 N
36 22 L
25 43 L
31 42 N
9 47 N
3 5 N
40 17 N
7 5 L
25 10 L
26 33 N
43 43 L
6 22 L
43 37 N
45 36 N
25 4 L
14 23 L
48 37 L
36 10 L
3 48 L
25 10 N
17 20 N
32 20 L
18 48 N
47 31 N
20 11 N
21 38 N
22 19 N
17 12 N
8 10 L
34 26 L
16 4 L
1 40 N
18 9 L
43 17 N
30 35 L
17 14 L
27 15 L
34 15 N
12 43 N
41 28 L
11 27 N
47 37 L
29 37 N
16 39 N
25 31 L
13 3 N
27 25 N
46 8 N
10 24 L
10 29 L
29 10 N
19 39 N
6 29 L
37 14 L
18 6 N
39 35 L
38 17 N
34 9 N
22 41 N
41 16 N
30 21 N
39 14 L
26 28 L
15 13 N
37 21 N
14 1 L
44 47 N
3 30 N
5 45 L
31 10 L
11 34 L
41 26 N
24 1 L
20 20 N
1 23 L
22 14 L
40 20 N
46 7 L
47 11 L
7 10 N
42 15 N
34 32 N
33 40 N
37 33 N
34 13 L
34 6 L
8 8 N
39 16 N
46 17 L
45 34 N
26 31 L
43 7 N
5 39 L
6 24 N
36 3 N
2 45 N
26 8 L
39 42 L
14 10 L
47 38 L
31 31 N
43 46 N
39 29 L
17 21 N
26 32 L
35 8 N
31 29 L
26 2 L
17 41 L
44 28 N
41 31 L
35 14 L
18 24 N
46 27 L
29 29 N
27 8 L
19 9 L
17 25 L
32 47 N
38 36 L
27 18 N
37 14 N
9 44 N
1 12 L
8 14 L
17 47 L
5 33 L
10 34 L
47 44 N
39 30 N
16 7 L
23 13 N
44 16 L
42 8 L
30 17 L
36 15 L
42 14 N
38 32 N
22 9 N
20 15 L
27 45 N
20 39 N
8 14 N
10 24 N
48 34 L
18 10 L
35 41 L
47 37 L
24 13 N
36 36 N
36 25 L
30 17 L
44 1 L
3 33 N
27 43 L
29 25 L
24 12 N
36 10 L
9 15 N
35 1 L
8 30 L
18 27 L
18 47 N
35 33 N
29 5 N
46 44 L
28 41 N
39 22 L
40 9 L
20 28 L
2 16 N
27 42 N
44 14 N
4 34 N
11 41 L
18 12 L
38 15 L
48 46 N
1 42 N
18 30 L
12 29 N
37 31 L
31 28 N
29 33 N
47 39 L
20 8 L
12 10 L
48 42 L
16 13 L
10 40 N
13 32 N
23 14 N
30 4 N
27 15 N
28 12 N
14 8 N
